alamat_rumah,harga_rumah,jumlah_kamar,jumlah_bangunan,luas_lahan
Bandung Barat,Rp450.000.000,2,40,72
Bandung Selatan,Rp480.000.000,2,42,72
Bandung Utara,Rp8.200.000.000,15,500,319
Bandung Selatan,Rp1.300.000.000,5,80,100
Bandung Tengah,Rp550.000.000,3,80,60
Bandung Utara,Rp6.250.000.000,2,300,281
Bandung Selatan,Rp1.500.000.000,2,140,60
Bandung Utara,Rp8.750.000.000,19,600,343
Bandung Utara,Rp1.300.000.000,3,100,76
Bandung Barat,Rp575.000.000,4,70,100
Bandung Barat,Rp250.000.000,2,30,25
Bandung Selatan,Rp4.250.000.000,3,230,431
Bandung Timur,Rp550.000.000,2,70,70
Bandung Timur,Rp1.550.000.000,4,200,89
Bandung Timur,Rp2.100.000.000,3,150,216
Bandung Selatan,Rp1.050.000.000,4,100,96
Bandung Selatan,Rp750.000.000,2,70,100
Bandung Selatan,Rp2.100.000.000,2,190,238
Bandung Selatan,Rp4.250.000.000,2,200,150
Bandung Tengah,Rp250.000.000,2,30,60
Bandung Selatan,Rp1.750.000.000,7,179,191
Bandung Selatan,Rp785.000.000,3,100,70
Bandung Utara,Rp5.600.000.000,5,250,310
Bandung Timur,Rp14.000.000.000,3,350,595
Bandung Selatan,Rp3.000.000.000,5,230,340
Bandung Selatan,Rp1.600.000.000,4,150,224
Bandung Selatan,Rp1.750.000.000,3,150,203
Bandung Utara,Rp1.500.000.000,3,167,223
Bandung Timur,Rp3.000.000.000,3,100,352
Bandung Barat,Rp750.000.000,8,70,101
Bandung Tengah,Rp650.000.000,2,50,56
Bandung Barat,Rp800.000.000,3,50,72
Bandung Barat,Rp1.300.000.000,3,140,125
Bandung Barat,Rp2.500.000.000,12,500,460
Bandung Tengah,Rp475.000.000,5,70,48
Bandung Tengah,Rp400.000.000,8,110,140
Bandung Selatan,Rp675.000.000,2,55,74
Bandung Selatan,Rp1.200.000.000,6,150,200
Bandung Timur,Rp2.500.000.000,3,150,107
Bandung Selatan,Rp800.000.000,5,200,293
Bandung Tengah,Rp3.300.000.000,7,300,240
Bandung Barat,Rp700.000.000,4,90,105
Bandung Selatan,Rp1.700.000.000,3,200,136
Bandung Selatan,Rp1.025.000.000,3,96,100
Bandung Timur,Rp2.700.000.000,6,350,228
Bandung Utara,Rp2.500.000.000,6,250,225
Bandung Timur,Rp2.100.000.000,5,250,202
Bandung Barat,Rp2.000.000.000,3,130,200
Bandung Barat,Rp1.400.000.000,4,150,104
Bandung Timur,Rp3.700.000.000,1,180,92
Bandung Tengah,Rp500.000.000,3,104,52
Bandung Tengah,Rp1.500.000.000,4,100,117
Bandung Selatan,Rp2.200.000.000,5,120,180
Bandung Utara,Rp9.000.000.000,26,450,396
Bandung Selatan,Rp850.000.000,3,80,83
Bandung Utara,Rp10.000.000.000,17,480,400
Bandung Selatan,Rp4.500.000.000,7,400,420
Bandung Selatan,Rp2.200.000.000,10,250,142
Bandung Timur,Rp1.000.000.000,4,100,109
Bandung Barat,Rp1.350.000.000,4,110,232
Bandung Selatan,Rp2.500.000.000,6,150,285
Bandung Selatan,Rp600.000.000,2,150,60
Bandung Timur,Rp1.700.000.000,8,160,150
Bandung Utara,Rp2.500.000.000,4,120,225
Bandung Utara,Rp4.800.000.000,4,300,327
Bandung Utara,Rp6.500.000.000,6,225,490
Bandung Barat,Rp348.000.000,2,36,26
Bandung Barat,Rp348.000.000,2,36,72
Bandung Tengah,Rp1.700.000.000,3,100,160
Bandung Selatan,Rp480.000.000,2,42,72
Bandung Tengah,Rp350.000.000,2,36,72
Bandung Utara,Rp710.000.000,2,42,72
Bandung Tengah,Rp238.500.000,2,29,72
Bandung Utara,Rp1.900.000.000,3,160,238
Bandung Timur,Rp450.000.000,2,40,72
Bandung Utara,Rp700.000.000,3,80,94
Bandung Utara,Rp8.000.000.000,6,340,790
Bandung Timur,Rp5.500.000.000,4,336,392
Bandung Utara,Rp3.100.000.000,4,175,189
Bandung Utara,Rp2.600.000.000,6,300,200
Bandung Barat,Rp1.600.000.000,3,70,108
Bandung Barat,Rp1.350.000.000,3,150,93
Bandung Utara,Rp4.000.000.000,4,270,337
Bandung Utara,Rp3.700.000.000,5,300,320
Bandung Timur,Rp4.500.000.000,4,500,350
Bandung Utara,Rp17.000.000.000,10,1200,675
Bandung Utara,Rp5.250.000.000,3,300,350
Bandung Timur,Rp4.000.000.000,4,550,326
Bandung Selatan,Rp5.500.000.000,5,250,512
Bandung Timur,Rp303.450.000,2,30,60
Bandung Utara,Rp12.500.000.000,4,650,536
Bandung Tengah,Rp1.800.000.000,2,90,107
Bandung Barat,Rp6.500.000.000,4,400,1065
Bandung Barat,Rp3.500.000.000,4,350,696
Bandung Selatan,Rp750.000.000,2,50,150
Bandung Utara,Rp480.000.000,2,42,72
Bandung Timur,Rp300.000.000,2,36,72
Bandung Timur,Rp499.000.000,2,42,75
Bandung Utara,Rp1.800.000.000,3,250,150
Bandung Selatan,Rp2.500.000.000,10,450,164
Bandung Utara,Rp5.500.000.000,5,350,495
Bandung Barat,Rp2.700.000.000,4,230,174
Bandung Timur,,,,
