alamat_rumah,harga_rumah,jumlah_kamar,jumlah_bangunan,luas_lahan
Bandung Timur,Rp8.600.000.000,4,600,2150
Bandung Tengah,Rp6.800.000.000,6,400,385
Bandung Barat,Rp3.900.000.000,3,150,350
Bandung Utara,Rp5.500.000.000,4,550,300
Bandung Selatan,Rp3.900.000.000,14,260,290
Bandung Utara,Rp1.500.000.000,3,80,104
Bandung Timur,Rp3.276.000.000,3,100,182
Bandung Tengah,Rp4.000.000.000,4,200,172
Bandung Utara,Rp6.500.000.000,4,342,542
Bandung Utara,Rp9.000.000.000,5,730,600
Bandung Utara,Rp10.500.000.000,7,700,695
Bandung Barat,Rp500.000.000,4,170,348
Bandung Tengah,Rp480.000.000,2,36,71
Bandung Timur,Rp600.000.000,2,60,100
Bandung Timur,Rp675.000.000,3,175,191
Bandung Utara,Rp4.000.000.000,3,265,360
Bandung Selatan,Rp899.000.000,3,90,156
Bandung Tengah,Rp5.750.000.000,4,300,275
Bandung Utara,Rp4.500.000.000,4,275,402
Bandung Utara,Rp560.000.000,2,65,109
Bandung Utara,Rp2.500.000.000,3,180,250
Bandung Utara,Rp1.049.000.000,3,120,100
Bandung Utara,Rp2.875.000.000,3,180,294
Bandung Utara,Rp3.500.000.000,4,200,343
Bandung Utara,Rp3.800.000.000,4,385,297
Bandung Utara,Rp10.000.000.000,17,515,515
Bandung Utara,Rp2.300.000.000,4,245,150
Bandung Selatan,Rp490.500.000,4,78,78
Bandung Barat,Rp1.300.000.000,3,150,120
Bandung Barat,Rp830.000.000,3,120,156
Bandung Tengah,Rp600.000.000,3,100,64
Bandung Utara,Rp11.495.000.000,6,400,512
Bandung Timur,Rp389.000.000,4,120,78
Bandung Utara,Rp2.495.000.000,7,200,277
Bandung Tengah,Rp699.000.000,3,75,72
Bandung Barat,Rp449.000.000,2,40,84
Bandung Timur,Rp1.299.000.000,3,122,102
Bandung Tengah,Rp6.850.000.000,4,350,700
Bandung Barat,Rp695.000.000,3,115,72
Bandung Selatan,Rp3.149.000.000,5,275,336
Bandung Utara,Rp600.000.004,3,64,100
Bandung Utara,Rp1.600.000.000,3,165,185
Bandung Utara,Rp7.500.000.000,6,800,1228
Bandung Selatan,Rp1.599.000.000,4,110,134
Bandung Utara,Rp2.649.000.000,4,290,170
Bandung Utara,Rp3.249.000.000,12,350,202
Bandung Barat,Rp1.299.000.000,3,85,157
Bandung Timur,Rp1.399.000.000,5,160,130
Bandung Utara,Rp1.199.000.000,2,100,125
Bandung Utara,Rp2.549.000.000,4,150,162
Bandung Barat,Rp4.950.000.000,5,260,400
Bandung Timur,Rp299.000.000,2,36,78
Bandung Timur,Rp825.000.000,2,66,72
Bandung Selatan,Rp526.000.000,2,36,90
Bandung Barat,Rp2.100.000.000,4,185,120
Bandung Timur,Rp369.000.000,2,40,72
Bandung Timur,Rp1.500.000.000,4,100,96
Bandung Selatan,Rp949.000.000,3,90,103
Bandung Tengah,Rp1.149.000.000,3,125,150
Bandung Barat,Rp849.000.000,3,120,108
Bandung Utara,Rp2.200.000.000,3,200,187
Bandung Timur,Rp1.600.000.000,3,150,122
Bandung Selatan,Rp775.000.000,3,116,66
Bandung Utara,Rp13.000.000.000,5,300,618
Bandung Selatan,Rp600.000.000,2,42,66
Bandung Barat,Rp12.500.000.000,6,560,642
Bandung Tengah,Rp600.000.000,3,64,100
Bandung Utara,Rp3.749.000.000,3,150,200
Bandung Utara,Rp549.000.000,4,150,92
Bandung Selatan,Rp949.000.000,4,122,144
Bandung Tengah,Rp450.000.000,2,36,72
Bandung Timur,Rp600.000.004,3,64,100
Bandung Utara,Rp1.250.000.000,4,300,200
Bandung Selatan,Rp600.000.000,2,42,66
Bandung Tengah,Rp600.000.003,3,64,100
Bandung Utara,Rp450.000.000,2,36,80
Bandung Selatan,Rp857.000.000,3,70,95
Bandung Barat,Rp200.000.000,2,36,60
Bandung Barat,Rp1.600.000.000,3,100,144
Bandung Timur,Rp4.500.000.000,4,250,350
Bandung Utara,Rp600.000.000,2,42,66
Bandung Tengah,Rp575.000.000,2,45,90
Bandung Utara,Rp5.900.000.000,4,482,355
Bandung Utara,Rp3.600.000.000,4,225,490
Bandung Utara,Rp2.600.000.000,4,270,200
Bandung Utara,Rp3.749.000.000,5,320,170
Bandung Utara,Rp2.150.000.000,5,220,189
Bandung Utara,Rp600.000.000,3,110,75
Bandung Selatan,Rp627.500.000,2,50,124
Bandung Selatan,Rp1.900.000.000,2,200,127
Bandung Selatan,Rp189.000.000,2,33,60
Bandung Timur,Rp498.000.000,2,50,87
Bandung Tengah,Rp10.000.000.000,6,800,660
Bandung Barat,Rp990.000.000,3,50,143
Bandung Utara,Rp5.000.000.000,5,468,320
Bandung Utara,Rp1.000.000.000,4,120,126
Bandung Utara,Rp699.000.000,6,120,120
Bandung Barat,Rp1.149.000.000,5,70,162
Bandung Barat,Rp999.000.000,3,220,96
Bandung Timur,Rp150.000.000,2,30,72
Bandung Timur,Rp297.000.000,2,50,60
Bandung Timur,Rp3.300.000.000,4,320,215
Bandung Utara,Rp355.000.000,2,30,60
Bandung Utara,Rp375.000.000,2,36,72
Bandung Barat,Rp1.299.000.000,3,120,153
Bandung Tengah,Rp675.000.000,3,100,120
Bandung Barat,Rp549.000.000,3,90,96
Bandung Barat,Rp1.975.000.000,3,280,237
Bandung Barat,Rp1.799.000.000,6,216,216
Bandung Barat,Rp525.000.000,4,150,346
Bandung Utara,Rp1.500.000.000,3,85,170
Bandung Selatan,Rp2.800.000.000,5,265,200
Bandung Utara,Rp4.500.000.000,4,300,400
Bandung Utara,Rp4.900.000.000,4,450,354
Bandung Selatan,Rp1.699.000.000,6,215,137
Bandung Utara,Rp975.000.000,3,71,71
Bandung Selatan,Rp23.000.000.000,4,200,628
Bandung Tengah,Rp15.000.000.000,4,400,1780
Bandung Timur,Rp500.000.000,2,48,84
Bandung Barat,Rp800.000.000,4,90,104
Bandung Barat,Rp5.700.099.000,3,350,164
Bandung Timur,Rp4.500.000.000,4,450,455
Bandung Selatan,Rp1.500.000.000,3,90,160
Bandung Selatan,Rp390.450.000,2,40,72
Bandung Utara,Rp578.800.000,2,36,90
Bandung Utara,Rp496.000.000,2,43,72
Bandung Selatan,Rp731.160.000,2,42,72
Bandung Barat,Rp14.500.000.000,2,251,494
Bandung Timur,Rp400.000.000,3,45,70
Bandung Utara,Rp400.000.000,3,45,72
Bandung Selatan,Rp1.400.000.000,2,90,120
Bandung Utara,Rp2.500.000.000,4,210,224
Bandung Utara,Rp1.150.000.000,3,66,166
Bandung Selatan,Rp345.000.000,2,36,72
Bandung Selatan,Rp4.500.000.000,7,187,295
Bandung Selatan,Rp1.600.000.000,4,250,180
Bandung Timur,Rp3.250.000.000,7,350,200
Bandung Utara,Rp4.295.000.000,4,300,325
Bandung Tengah,Rp160.000.000,2,30,60
Bandung Barat,Rp1.950.000.000,4,100,147
Bandung Utara,Rp32.000.000.000,4,400,1748
Bandung Selatan,Rp580.000.000,2,46,90
Bandung Barat,Rp640.000.000,2,60,80
Bandung Utara,Rp900.000.000,4,100,136
Bandung Utara,Rp6.000.000.000,7,500,360
Bandung Barat,Rp6.800.000.000,7,530,496
Bandung Timur,Rp2.800.000.000,3,250,98
Bandung Selatan,Rp3.500.000.000,4,105,178
Bandung Timur,Rp551.000.000,2,36,72
Bandung Timur,Rp6.900.000.000,5,800,455
Bandung Barat,Rp1.900.000.000,5,200,180
Bandung Selatan,Rp4.300.000.000,5,187,207
Bandung Timur,Rp4.200.000.000,5,400,300
Bandung Timur,Rp2.100.000.000,3,170,170
Bandung Utara,Rp4.000.000.000,19,400,250
Bandung Utara,Rp1.250.000.000,4,110,127
Bandung Selatan,Rp499.000.000,3,54,110
Bandung Barat,Rp1.300.000.000,3,120,162
Bandung Tengah,Rp1.800.000.000,3,80,143
Bandung Timur,Rp910.000.000,2,45,84
Bandung Utara,Rp280.000.000,2,36,72
Bandung Barat,Rp1.600.000.000,3,73,163
Bandung Utara,Rp13.000.000.000,5,550,1547
Bandung Timur,Rp2.350.000.000,2,120,90
Bandung Timur,Rp5.700.000.000,5,300,417
Bandung Barat,Rp8.800.000.000,5,500,536
Bandung Tengah,Rp1.500.000.000,2,100,156
Bandung Selatan,Rp1.750.000.000,5,200,225
Bandung Selatan,Rp3.500.000.000,4,200,240
Bandung Selatan,Rp4.700.000.000,4,210,399
Bandung Selatan,Rp6.000.000.000,7,500,360
Bandung Utara,Rp2.300.000.000,3,200,183
Bandung Utara,Rp2.500.000.000,4,250,178
Bandung Utara,Rp2.650.000.000,13,375,258
Bandung Timur,Rp1.200.000.000,10,220,155
Bandung Tengah,Rp2.500.000.000,3,165,122
Bandung Timur,Rp1.700.000.000,3,160,108
Bandung Selatan,Rp1.300.000.000,5,160,120
Bandung Selatan,Rp990.000.000,3,89,83
Bandung Utara,Rp2.200.000.000,4,350,185
Bandung Timur,Rp2.200.000.000,3,250,142
Bandung Timur,Rp2.500.000.000,4,240,175
Bandung Timur,Rp2.800.000.000,5,250,200
Bandung Barat,Rp2.600.000.000,2,168,130
Bandung Utara,Rp18.500.000.000,4,500,1048
Bandung Timur,Rp1.300.000.000,2,58,144
Bandung Timur,Rp2.000.000.000,4,136,222
Bandung Utara,Rp3.800.000.000,6,254,414
Bandung Timur,Rp209.000.000,2,36,66
Bandung Utara,Rp250.000.000,2,60,39
Bandung Timur,Rp170.000.000,2,30,60
Bandung Barat,Rp350.000.000,2,36,72
Bandung Timur,Rp306.980.000,2,37,60
Bandung Selatan,Rp498.000.000,2,42,72
Bandung Selatan,Rp120.000.000,2,36,60
Bandung Barat,Rp1.650.000.000,6,280,200
Bandung Timur,Rp949.000.000,3,108,96
Bandung Timur,Rp5.900.000.000,5,218,412
Bandung Selatan,Rp3.000.000.000,11,400,407
Bandung Utara,Rp1.900.000.000,3,150,152
Bandung Barat,Rp206.000.000,1,33,60
Bandung Barat,Rp900.000.000,3,98,90
Bandung Timur,Rp350.000.000,2,36,72
Bandung Barat,Rp2.600.000.000,4,270,200
Bandung Utara,Rp2.200.000.000,6,135,265
Bandung Timur,Rp495.000.000,2,72,72
Bandung Utara,Rp19.000.000.000,9,500,1252
Bandung Selatan,Rp4.500.000.000,7,250,330
Bandung Timur,Rp900.000.000,4,72,72
Bandung Timur,Rp2.700.000.000,7,250,327
Bandung Selatan,Rp2.200.000.000,3,120,162
Bandung Selatan,Rp3.250.000.000,4,380,297
Bandung Utara,Rp20.000.000.000,8,400,776
Bandung Barat,Rp500.000.000,3,80,94
Bandung Barat,Rp450.000.000,2,40,72
Bandung Selatan,Rp5.500.000.000,8,325,507
Bandung Utara,Rp1.600.000.000,4,100,100
Bandung Tengah,Rp1.399.000.000,2,125,151
Bandung Selatan,Rp2.300.000.000,5,400,204
Bandung Utara,Rp14.000.000.000,10,700,525
Bandung Utara,Rp456.000.000,2,36,72
Bandung Utara,Rp10.500.000.000,3,350,853
Bandung Utara,Rp15.000.000.000,7,500,947
Bandung Utara,Rp11.000.000.000,6,350,430
Bandung Selatan,Rp640.000.000,2,60,80
Bandung Selatan,Rp1.950.000.000,4,100,147
Bandung Selatan,Rp2.100.000.000,6,180,114
Bandung Utara,Rp563.000.000,2,65,84
Bandung Timur,Rp1.750.000.000,18,320,175
Bandung Timur,Rp200.000.000,2,30,60
Bandung Selatan,Rp1.250.000.000,6,400,257
Bandung Barat,Rp1.900.000.000,3,129,120
Bandung Barat,Rp450.000.000,2,40,72
Bandung Selatan,Rp480.000.000,2,42,72
Bandung Timur,Rp170.000.000,2,39,60
Bandung Utara,Rp1.500.000.000,6,300,180
Bandung Selatan,Rp1.800.000.000,4,110,75
Bandung Selatan,Rp3.000.000.000,8,400,299
Bandung Timur,Rp499.000.000,2,45,75
Bandung Timur,Rp700.000.000,3,91,80
Bandung Barat,Rp250.000.000,2,30,60
Bandung Selatan,Rp250.000.000,2,30,60
Bandung Barat,Rp450.000.000,2,40,72
Bandung Tengah,Rp450.000.000,2,40,72
Bandung Timur,Rp200.000.000,2,60,30
Bandung Selatan,Rp1.500.000.000,5,142,118
Bandung Tengah,Rp250.000.000,2,33,60
Bandung Selatan,Rp480.000.000,2,42,72
Bandung Timur,Rp170.000.000,2,30,60
Bandung Selatan,Rp480.000.000,2,42,72
Bandung Selatan,Rp480.000.000,2,42,72
Bandung Timur,Rp206.000.000,2,33,60
Bandung Barat,Rp300.000.000,2,36,72
Bandung Barat,Rp450.000.000,2,40,72
Bandung Tengah,Rp227.000.000,2,33,66
Bandung Utara,Rp6.500.000.000,3,300,240
Bandung Timur,Rp277.000.000,2,33,60
Bandung Selatan,Rp250.000.000,2,33,60
Bandung Barat,Rp700.000.000,3,80,91
Bandung Tengah,Rp450.000.000,2,40,72
Bandung Utara,Rp1.500.000.000,4,280,126
Bandung Barat,Rp480.000.000,2,42,72
Bandung Tengah,Rp499.000.000,2,45,75
Bandung Tengah,Rp450.000.000,2,40,72
Bandung Utara,Rp450.000.000,2,40,72
Bandung Utara,Rp750.000.000,2,50,150
Bandung Utara,Rp700.000.000,3,80,94
Bandung Timur,Rp700.000.000,3,80,91
Bandung Utara,Rp4.200.000.000,6,200,297
Bandung Selatan,Rp260.000.000,2,60,30
Bandung Timur,Rp200.000.000,2,33,66
Bandung Selatan,Rp170.000.000,2,36,55
Bandung Utara,Rp300.000.000,2,45,72
Bandung Selatan,Rp480.000.000,2,42,72
Bandung Timur,Rp700.000.000,2,80,91
Bandung Utara,Rp2.750.000.000,5,900,300
Bandung Barat,Rp470.000.000,3,120,80
Bandung Selatan,Rp480.000.000,2,42,72
Bandung Selatan,Rp480.000.000,2,42,72
Bandung Barat,Rp300.000.000,2,36,72
Bandung Selatan,Rp2.100.000.000,3,500,300
Bandung Timur,Rp480.000.000,2,42,72
Bandung Utara,Rp700.000.000,3,80,91
Bandung Barat,Rp470.000.000,3,120,80
Bandung Selatan,Rp2.800.000.000,5,200,114
Bandung Selatan,Rp1.300.000.000,4,150,122
Bandung Tengah,Rp6.500.000.000,4,1070,700
Bandung Selatan,Rp795.000.000,4,180,90
Bandung Selatan,Rp1.800.000.000,4,309,192
Bandung Selatan,Rp120.000.000,2,36,50
Bandung Timur,Rp580.000.000,3,54,87
Bandung Utara,Rp758.314.138,2,36,122
Bandung Utara,Rp649.000.000,3,100,169
Bandung Timur,Rp449.000.000,3,88,103
Bandung Utara,Rp2.595.000.000,5,250,170
Bandung Selatan,Rp450.000.000,3,36,90
Bandung Barat,Rp499.000.000,2,45,75
Bandung Timur,Rp570.000.000,5,150,180
Bandung Timur,Rp470.000.000,3,120,80
Bandung Timur,Rp480.000.000,2,42,72
Bandung Utara,Rp1.500.000.000,3,200,259
Bandung Selatan,Rp1.900.000.000,4,200,180
Bandung Utara,Rp800.000.000,10,213,106
Bandung Utara,Rp800.000.000,3,90,112
Bandung Barat,Rp627.000.000,2,48,128
Bandung Timur,Rp1.600.000.000,4,100,119
Bandung Utara,Rp4.000.000.000,4,168,330
Bandung Utara,Rp2.150.000.000,5,150,296
Bandung Utara,Rp800.000.000,5,151,90
Bandung Utara,Rp1.750.000.000,4,200,280
Bandung Utara,Rp753.000.000,3,110,70
Bandung Selatan,Rp500.000.000,2,70,70
Bandung Utara,Rp800.000.000,5,151,90
Bandung Selatan,Rp553.000.000,2,46,83
Bandung Utara,Rp625.000.000,1,60,42
Bandung Timur,Rp1.499.000.000,5,200,121
Bandung Utara,Rp575.000.000,2,45,102
Bandung Tengah,Rp5.995.000.000,5,400,500
Bandung Timur,Rp425.000.000,2,36,94
Bandung Timur,Rp3.249.000.000,6,280,152
Bandung Utara,Rp1.650.000.000,5,175,104
Bandung Timur,Rp800.000.000,3,84,90
Bandung Timur,Rp425.000.000,2,38,72
Bandung Utara,Rp4.300.000.000,4,450,323
Bandung Utara,Rp8.500.000.000,7,800,600
Bandung Timur,Rp3.800.000.000,5,325,300
Bandung Timur,Rp499.000.000,3,54,110
Bandung Timur,Rp1.800.000.000,5,214,230
