alamat_rumah,harga_rumah,jumlah_kamar,jumlah_bangunan,luas_lahan
Bandung Barat,695000000,3,115,72
Bandung Selatan,3149000000,5,275,336
Bandung Utara,600000004,3,64,100
Bandung Utara,1600000000,3,165,185
Bandung Utara,7500000000,6,800,1228
Bandung Selatan,1599000000,4,110,134
Bandung Utara,2649000000,4,290,170
Bandung Utara,3249000000,12,350,202
Bandung Barat,1299000000,3,85,157
Bandung Timur,1399000000,5,160,130
Bandung Utara,1199000000,2,100,125
Bandung Utara,2549000000,4,150,162
Bandung Barat,4950000000,5,260,400
Bandung Timur,299000000,2,36,78
Bandung Timur,825000000,2,66,72
Bandung Selatan,526000000,2,36,90
Bandung Barat,2100000000,4,185,120
Bandung Timur,369000000,2,40,72
Bandung Timur,1500000000,4,100,96
Bandung Selatan,949000000,3,90,103
Bandung Tengah,1149000000,3,125,150
Bandung Barat,849000000,3,120,108
Bandung Utara,2200000000,3,200,187
Bandung Timur,1600000000,3,150,122
Bandung Selatan,775000000,3,116,66
Bandung Utara,13000000000,5,300,618
Bandung Selatan,600000000,2,42,66
Bandung Barat,12500000000,6,560,642
Bandung Tengah,600000000,3,64,100
Bandung Utara,3749000000,3,150,200
Bandung Utara,549000000,4,150,92
Bandung Selatan,949000000,4,122,144
Bandung Tengah,450000000,2,36,72
Bandung Timur,600000004,3,64,100
Bandung Utara,1250000000,4,300,200
Bandung Selatan,600000000,2,42,66
Bandung Tengah,600000003,3,64,100
Bandung Utara,450000000,2,36,80
Bandung Selatan,857000000,3,70,95
Bandung Barat,200000000,2,36,60
Bandung Barat,1600000000,3,100,144
Bandung Timur,4500000000,4,250,350
Bandung Utara,600000000,2,42,66
Bandung Tengah,575000000,2,45,90
Bandung Utara,5900000000,4,482,355
Bandung Utara,3600000000,4,225,490
Bandung Utara,2600000000,4,270,200
Bandung Utara,3749000000,5,320,170
Bandung Utara,2150000000,5,220,189
Bandung Utara,600000000,3,110,75
Bandung Selatan,627500000,2,50,124
Bandung Selatan,1900000000,2,200,127
Bandung Selatan,189000000,2,33,60
Bandung Timur,498000000,2,50,87
Bandung Tengah,10000000000,6,800,660
Bandung Barat,990000000,3,50,143
Bandung Utara,5000000000,5,468,320
Bandung Utara,1000000000,4,120,126
Bandung Utara,699000000,6,120,120
Bandung Barat,1149000000,5,70,162
Bandung Barat,999000000,3,220,96
Bandung Timur,150000000,2,30,72
Bandung Timur,297000000,2,50,60
Bandung Timur,3300000000,4,320,215
Bandung Utara,355000000,2,30,60
Bandung Utara,375000000,2,36,72
Bandung Barat,1299000000,3,120,153
Bandung Tengah,675000000,3,100,120
Bandung Barat,549000000,3,90,96
Bandung Barat,1975000000,3,280,237
Bandung Barat,1799000000,6,216,216
Bandung Barat,525000000,4,150,346
Bandung Utara,1500000000,3,85,170
Bandung Selatan,2800000000,5,265,200
Bandung Utara,4500000000,4,300,400
Bandung Utara,4900000000,4,450,354
Bandung Selatan,1699000000,6,215,137
Bandung Utara,975000000,3,71,71
Bandung Selatan,23000000000,4,200,628
Bandung Tengah,15000000000,4,400,1780
Bandung Timur,500000000,2,48,84
Bandung Barat,800000000,4,90,104
Bandung Barat,5700099000,3,350,164
Bandung Timur,4500000000,4,450,455
Bandung Selatan,1500000000,3,90,160
Bandung Selatan,390450000,2,40,72
Bandung Utara,578800000,2,36,90
Bandung Utara,496000000,2,43,72
Bandung Selatan,731160000,2,42,72
Bandung Barat,14500000000,2,251,494
Bandung Timur,400000000,3,45,70
Bandung Utara,400000000,3,45,72
Bandung Selatan,1400000000,2,90,120
Bandung Utara,2500000000,4,210,224
Bandung Utara,1150000000,3,66,166
Bandung Selatan,345000000,2,36,72
Bandung Selatan,4500000000,7,187,295
Bandung Selatan,1600000000,4,250,180
Bandung Timur,3250000000,7,350,200
Bandung Utara,4295000000,4,300,325
Bandung Tengah,160000000,2,30,60
Bandung Barat,1950000000,4,100,147
Bandung Utara,32000000000,4,400,1748
