kota,id,hdi,revenue
"Tebing Tinggi, Kota",IDN_Tebing_Tinggi_Kota_73757,77.96,596250000000
"Tegal, Kota",IDN_Tegal_Kota_18048,75.02,723969000000
"Ternate, Kota",IDN_Ternate_Kota_73758,78.44,646700000000
"Tomohon, Kota",IDN_Tomohon_Kota_73760,77.82,463600000000
"Tual, Kota",IDN_Tual_18305,77.91,342877000000
"Yogyakarta, Kota",IDN_Yogyakarta_Kota_17983,80.51,1309580000000
"Aceh Barat Daya, Kab.",IDN_Aceh_Barat_Daya_Kab_73623,72.07,554549000000
"Aceh Barat, Kab.",IDN_Aceh_Barat_Kab_73624,72.24,720458000000
"Aceh Besar, Kab.",IDN_Aceh_Besar_Kab_17960,74.51,933251000000
"Aceh Jaya, Kab.",IDN_Aceh_Jaya_Kab_73625,71,477645000000
"Aceh Selatan, Kab.",IDN_Aceh_Selatan_Kab_73626,71.18,749089000000
"Aceh Singkil, Kab.",IDN_Aceh_Singkil_Kab_73627,69.79,475096000000
"Aceh Tamiang, Kab.",IDN_Aceh_Tamiang_Kab_73628,72.04,657325000000
"Aceh Tengah, Kab.",IDN_Aceh_Tengah_Kab_73629,75.04,791919000000
"Aceh Tenggara, Kab.",IDN_Aceh_Tenggara_Kab_73630,72.81,637645000000
"Aceh Timur, Kab.",IDN_Aceh_Timur_Kab_73631,71.79,955562000000
"Aceh Utara, Kab.",IDN_Aceh_Utara_Kab_73632,73.51,1493210000000
"Agam, Kab.",IDN_Agam_Kab_18202,74.5,1005420000000
"Alor, Kab.",IDN_Alor_Kab_18149,69.67,640816000000
"Asahan, Kab.",IDN_Asahan_Kab_73633,74.23,1202010000000
"Asmat, Kab.",IDN_Asmat_Kab_73634,52.44,1007800000000
"Badung, Kab.",IDN_Badung_Kab_17969,76.37,2954660000000
"Balangan, Kab.",IDN_Balangan_Kab_73635,68.3,721742000000
"Bandung Barat, Kab.",IDN_Bandung_Barat_18237,74.59,1671360000000
"Bandung, Kab.",IDN_Bandung_Kab_73636,75.11,3368040000000
"Banggai Kepulauan, Kab.",IDN_Banggai_Kepulauan_Kab_73637,69.12,616517000000
"Banggai, Kab.",IDN_Banggai_Kab_73638,72.75,1010140000000
"Bangka Barat, Kab.",IDN_Bangka_Barat_Kab_73639,71.46,597297000000
"Bangka Selatan, Kab.",IDN_Bangka_Selatan_Kab_73640,68.58,568024000000
"Bangka Tengah, Kab.",IDN_Bangka_Tengah_Kab_73641,72.64,558475000000
"Bangka, Kab.",IDN_Bangka_Kab_73642,74.05,810681000000
"Bangkalan, Kab.",IDN_Bangkalan_Kab_18064,66.19,1405790000000
"Bangli, Kab.",IDN_Bangli_Kab_17970,72.28,702888000000
"Banjar, Kab.",IDN_Banjar_Kab_18108,72.3,1226500000000
"Banjarnegara, Kab.",IDN_Banjarnegara_Kab_18030,71.13,1279700000000
"Bantaeng, Kab.",IDN_Bantaeng_Kab_18167,72.22,556111000000
"Bantul, Kab.",IDN_Bantul_Kab_17981,76.01,1520300000000
"Banyuasin, Kab.",IDN_Banyuasin_Kab_73643,71.08,1663680000000
"Banyumas, Kab.",IDN_Banyumas_Kab_18031,73.96,2037640000000
"Banyuwangi, Kab.",IDN_Banyuwangi_Kab_18065,71.02,1917060000000
"Barito Selatan, Kab.",IDN_Barito_Selatan_Kab_73644,74.54,708452000000
"Barito Timur, Kab.",IDN_Barito_Timur_Kab_73645,73.86,634427000000
"Barito Utara, Kab.",IDN_Barito_Utara_Kab_73646,76.13,780559000000
"Batang, Kab.",IDN_Batang_Kab_18032,72.03,1086630000000
"Batanghari, Kab.",IDN_Batanghari_Kab_73647,74.25,948698000000
"Bekasi, Kab.",IDN_Bekasi_Kab_18007,74.8,3362250000000
"Belitung Timur, Kab.",IDN_Belitung_Timur_Kab_73648,73.46,584462000000
"Belitung, Kab.",IDN_Belitung_Kab_73649,74.82,655826000000
"Belu, Kab.",IDN_Belu_Kab_18150,66.24,841203000000
"Bener Meriah, Kab.",IDN_Bener_Meriah_Kab_73650,72.39,525854000000
"Bengkalis, Kab.",IDN_Bengkalis_Kab_73651,76.12,3108940000000
"Bengkayang, Kab.",IDN_Bengkayang_Kab_73652,69.38,676354000000
"Bengkulu Selatan, Kab.",IDN_Bengkulu_Selatan_Kab_73653,73.66,608059000000
"Bengkulu Tengah, Kab.",IDN_Bengkulu_Tengah_18240,69.93,477511000000
"Bengkulu Utara, Kab.",IDN_Bengkulu_Utara_Kab_73654,73.67,689469000000
"Berau, Kab.",IDN_Berau_Kab_18128,75.83,1799070000000
"Biak Numfor, Kab.",IDN_Biak_Numfor_Kab_73655,71.03,709244000000
"Bima, Kab.",IDN_Bima_Kab_73656,67.34,1001010000000
"Bintan, Kab.",IDN_Bintan_Kab_73698,76.1,916420000000
"Bireuen, Kab.",IDN_Bireuen_Kab_73657,74.03,1028720000000
"Blitar, Kab.",IDN_Blitar_Kab_18066,74.92,1604230000000
"Blora, Kab.",IDN_Blora_Kab_18033,72.1,1292800000000
"Boalemo, Kab.",IDN_Boalemo_Kab_73658,69.78,487379000000
"Bogor, Kab.",IDN_Bogor_Kab_18008,73.92,4572330000000
"Bojonegoro, Kab.",IDN_Bojonegoro_Kab_18067,68.32,2024350000000
"Bolaang Mongondow Timur, Kab.",IDN_Bolaang_Mongondow_Timur_18243,73.75,331179000000
"Bolaang Mongondow Utara, Kab.",IDN_Bolaang_Mongondow_Utara_18244,73.94,372507000000
"Bolaang Mongondow, Kab.",IDN_Bolaang_Mongondow_Kab_18197,74.22,599168000000
"Bombana, Kab.",IDN_Bombana_Kab_73659,69.67,569487000000
"Bondowoso, Kab.",IDN_Bondowoso_Kab_18068,65.39,1266840000000
"Bone Bolango, Kab.",IDN_Bone_Bolango_Kab_73660,73.24,541169000000
"Bone, Kab.",IDN_Bone_Kab_18169,72.08,1392740000000
"Boyolali, Kab.",IDN_Boyolali_Kab_18034,71.88,1463130000000
"Brebes, Kab.",IDN_Brebes_Kab_18035,69.85,1781870000000
"Buleleng, Kab.",IDN_Buleleng_Kab_17971,72.54,1390660000000
"Bulukumba, Kab.",IDN_Bulukumba_Kab_18170,73.21,923530000000
"Bungo, Kab.",IDN_Bungo_Kab_73663,73.44,941483000000
"Buol, Kab.",IDN_Buol_Kab_73664,71.07,560953000000
"Buru Selatan, Kab.",IDN_Buru_Selatan_18245,70.23,397753000000
"Buru, Kab.",IDN_Buru_Kab_73665,70.79,485557000000
"Buton, Kab.",IDN_Buton_Kab_73666,70.35,807807000000
"Ciamis, Kab.",IDN_Ciamis_Kab_73667,72.68,2196490000000
"Cianjur, Kab.",IDN_Cianjur_Kab_18010,70.38,2247860000000
"Cilacap, Kab.",IDN_Cilacap_Kab_18036,73.34,2121360000000
"Cirebon, Kab.",IDN_Cirebon_Kab_18011,70.25,2316010000000
"Dairi, Kab.",IDN_Dairi_Kab_73668,74.22,719213000000
"Deli Serdang, Kab.",IDN_Deli_Serdang_Kab_73669,76.82,2096340000000
"Demak, Kab.",IDN_Demak_Kab_18037,73.85,1398720000000
"Dharmasraya, Kab.",IDN_Dharmasraya_Kab_73670,70.52,595137000000
"Dogiyai, Kab.",IDN_Dogiyai_18248,51.42,580880000000
"Dompu, Kab.",IDN_Dompu_Kab_18144,68.31,670627000000
"Donggala, Kab.",IDN_Donggala_Kab_73671,71.42,788244000000
"Empat Lawang, Kab.",IDN_Empat_Lawang_18249,70.02,611636000000
"Ende, Kab.",IDN_Ende_Kab_18151,68.67,689786000000
"Enrekang, Kab.",IDN_Enrekang_Kab_18171,75.67,246613000000
"Fakfak, Kab.",IDN_Fakfak_Kab_73672,73.33,852948000000
"Flores Timur, Kab.",IDN_Flores_Timur_Kab_73673,70.03,655602000000
"Garut, Kab.",IDN_Garut_Kab_18012,72.43,2741530000000
"Gayo Lues, Kab.",IDN_Gayo_Lues_Kab_73674,69.09,521669000000
"Gianyar, Kab.",IDN_Gianyar_Kab_17972,75.02,1248420000000
"Gorontalo Utara, Kab.",IDN_Gorontalo_Utara_18250,70.81,408355000000
"Gorontalo, Kab.",IDN_Gorontalo_18199.55,71.45,800101000000
"Gowa, Kab.",IDN_Gowa_Kab_18172,72.12,1085480000000
"Gresik, Kab.",IDN_Gresik_Kab_18069,76.36,1840560000000
"Grobogan, Kab.",IDN_Grobogan_Kab_18038,72.37,1549710000000
"Gunung Kidul, Kab.",IDN_Gunung_Kidul_Kab_17982,71.64,1242090000000
"Gunung Mas, Kab.",IDN_Gunung_Mas_Kab_73676,74.26,667568000000
"Halmahera Barat, Kab.",IDN_Halmahera_Barat_Kab_73677,68.56,505215000000
"Halmahera Selatan, Kab.",IDN_Halmahera_Selatan_Kab_73678,69.45,668152000000
"Halmahera Tengah, Kab.",IDN_Halmahera_Tengah_Kab_73679,70.55,537570000000
"Halmahera Timur, Kab.",IDN_Halmahera_Timur_Kab_73680,69.42,609295000000
"Halmahera Utara, Kab.",IDN_Halmahera_Utara_Kab_73681,70.36,612139000000
"Hulu Sungai Selatan, Kab.",IDN_Hulu_Sungai_Selatan_Kab_18110,72,803208000000
"Hulu Sungai Tengah, Kab.",IDN_Hulu_Sungai_Tengah_Kab_18111,72.21,812824000000
"Humbang Hasundutan, Kab.",IDN_Humbang_Hasundutan_Kab_73683,73.09,627806000000
"Indragiri Hilir, Kab.",IDN_Indragiri_Hilir_Kab_18162,76.41,1545470000000
"Indragiri Hulu, Kab.",IDN_Indragiri_Hulu_Kab_73684,75.21,1384450000000
"Indramayu, Kab.",IDN_Indramayu_Kab_18013,69.52,2121310000000
"Jayapura, Kab.",IDN_Jayapura_Kab_73685,73.79,863348000000
"Jayawijaya, Kab.",IDN_Jayawijaya_Kab_73686,57.55,970964000000
"Jember, Kab.",IDN_Jember_Kab_18070,66.6,2366370000000
"Jembrana, Kab.",IDN_Jembrana_Kab_17973,74.29,745335000000
"Jeneponto, Kab.",IDN_Jeneponto_Kab_18173,66.22,707692000000
"Jepara, Kab.",IDN_Jepara_Kab_18039,74.13,1386690000000
"Jombang, Kab.",IDN_Jombang_Kab_18071,74.47,1567610000000
"Kaimana, Kab.",IDN_Kaimana_Kab_73687,71.87,799090000000
"Kampar, Kab.",IDN_Kampar_Kab_73688,75.83,2268350000000
"Kapuas Hulu, Kab.",IDN_Kapuas_Hulu_Kab_18101,70.97,1081460000000
"Karanganyar, Kab.",IDN_Karanganyar_Kab_18040,75.27,1369050000000
"Karangasem, Kab.",IDN_Karangasem_Kab_17974,68.47,1041580000000
"Karawang, Kab.",IDN_Karawang_Kab_18014,71.56,2691830000000
"Karimun, Kab.",IDN_Karimun_Kab_73690,74.95,1050860000000
"Karo, Kab.",IDN_Karo_Kab_18227,76.76,909311000000
"Katingan, Kab.",IDN_Katingan_Kab_73691,73.83,769752000000
"Kaur, Kab.",IDN_Kaur_Kab_73692,71.54,461125000000
"Kayong Utara, Kab.",IDN_Kayong_Utara_18253,66.83,477221000000
"Kebumen, Kab.",IDN_Kebumen_Kab_18041,72.25,1626530000000
"Kediri, Kab.",IDN_Kediri_Kab_18072,73.29,1790940000000
"Keerom, Kab.",IDN_KeeROU_Kab_73693,70.42,691550000000
"Kendal, Kab.",IDN_Kendal_Kab_73694,72.03,1388640000000
"Kep. Siau Tagulandang Biaro, Kab.",IDN_Kep_Siau_Tagulandang_Biaro_Kab_18296,74.56,425924000000
"Kepahiang, Kab.",IDN_Kepahiang_Kab_73882,69.76,492415000000
"Kepulauan Anambas, Kab.",IDN_Kepulauan_Anambas_18254,70.48,940911000000
"Kepulauan Aru, Kab.",IDN_Kepulauan_Aru_Kab_73697,71.29,502693000000
"Kepulauan Mentawai, Kab.",IDN_Kepulauan_Mentawai_Kab_73696,69.72,626027000000
"Kepulauan Meranti, Kab.",IDN_Kepulauan_Meranti_18255,71.8,1050570000000
"Kepulauan Sangihe, Kab.",IDN_Kepulauan_Sangihe_Kab_73699,76.79,618793000000
"Kepulauan Selayar, Kab.",IDN_Kepulauan_Selayar_Kab_18182,71,608033000000
"Kepulauan Sula, Kab.",IDN_Kepulauan_Sula_Kab_73700,69.59,558083000000
"Kepulauan Yapen, Kab.",IDN_Kepulauan_Yapen_Kab_73880,71.4,620039000000
"Kerinci, Kab.",IDN_Kerinci_Kab_18002,75.49,801645000000
"Ketapang, Kab.",IDN_Ketapang_Kab_18102,69.74,1396270000000
"Klaten, Kab.",IDN_Klaten_Kab_18042,74.91,1735590000000
"Klungkung, Kab.",IDN_Klungkung_Kab_17975,72.25,711405000000
"Kolaka Timur, Kab.",IDN_Kolaka_Timur_18257,68.59,6369123121
"Kolaka Utara, Kab.",IDN_Kolaka_Utara_Kab_73702,70.65,615010000000
"Kolaka, Kab.",IDN_Kolaka_Kab_73703,72.39,914367000000
"Konawe Kepulauan, Kab.",IDN_Konawe_Kepulauan_18259,66.04,5500000000
"Konawe Utara, Kab.",IDN_Konawe_Utara_18260,70.66,581707000000
"Konawe, Kab.",IDN_Konawe_18258,71.67,869222000000
"Kotabaru, Kab.",IDN_Kotabaru_Kab_18114,73.15,1178630000000
"Kotawaringin Barat, Kab.",IDN_Kotawaringin_Barat_Kab_73762,75.11,875985000000
"Kotawaringin Timur, Kab.",IDN_Kotawaringin_Timur_Kab_73763,75.4,1183150000000
"Kuantan Singingi, Kab.",IDN_Kuantan_Singingi_Kab_73764,74.77,1231850000000
"Kubu Raya, Kab.",IDN_Kubu_Raya_18262,69.32,954287000000
"Kudus, Kab.",IDN_Kudus_Kab_18049,74.09,1386180000000
"Kulon Progo, Kab.",IDN_Kulon_Progo_Kab_17984,75.95,1003180000000
"Kuningan, Kab.",IDN_Kuningan_Kab_18019,72.47,1625740000000
"Kupang, Kab.",IDN_Kupang_Kab_73765,67.74,750108000000
"Kutai Barat, Kab.",IDN_Kutai_Barat_Kab_73766,74.61,2254580000000
"Kutai Kartanegara, Kab.",IDN_Kutai_Kartanegara_Kab_73767,74.8,5950670000000
"Kutai Timur, Kab.",IDN_Kutai_Timur_Kab_73768,74.23,3048990000000
"Labuhan Batu Selatan, Kab.",IDN_Labuhan_Batu_Selatan_18263,75.48,618909000000
"Labuhan Batu Utara, Kab.",IDN_Labuhan_Batu_Utara_18264,75.7,755137000000
"Labuhan Batu, Kab.",IDN_Labuhan_Batu_Kab_18233,75.71,827443000000
"Lahat, Kab.",IDN_Lahat_Kab_73769,72.68,1229820000000
"Lamandau, Kab.",IDN_Lamandau_Kab_73770,73.29,557919000000
"Lamongan, Kab.",IDN_Lamongan_Kab_18081,71.81,1674660000000
"Lampung Barat, Kab.",IDN_Lampung_Barat_Kab_73771,70.37,854218000000
"Lampung Selatan, Kab.",IDN_Lampung_Selatan_Kab_18135,71.25,1198780000000
"Lampung Tengah, Kab.",IDN_Lampung_Tengah_Kab_18136,72.3,1613950000000
"Lampung Timur, Kab.",IDN_Lampung_Timur_Kab_73772,72.14,1366830000000
"Lampung Utara, Kab.",IDN_Lampung_Utara_Kab_18137,71.7,1114470000000
"Landak, Kab.",IDN_Landak_Kab_73773,69.58,863851000000
"Langkat, Kab.",IDN_Langkat_Kab_18234,74.38,1555900000000
"Lanny Jaya, Kab.",IDN_Lanny_Jaya_18265,51.07,847234000000
"Lebak, Kab.",IDN_Lebak_Kab_18020,68.82,1475430000000
"Lebong, Kab.",IDN_Lebong_Kab_73774,71.58,457735000000
"Lembata, Kab.",IDN_Lembata_Kab_73775,69.17,468279000000
"Limapuluh Kota, Kab",IDN_Limapuluh_Kota_Kab_18208,72.54,888857000000
"Lingga, Kab.",IDN_Lingga_Kab_73776,72.41,718948000000
"Lombok Barat, Kab.",IDN_Lombok_Barat_Kab_18145,63.82,994525000000
"Lombok Tengah, Kab.",IDN_Lombok_Tengah_Kab_18146,63.51,1230520000000
"Lombok Timur, Kab.",IDN_Lombok_Timur_Kab_18147,65.78,1434650000000
"Lombok Utara, Kab.",IDN_Lombok_Utara_18266,61.9,494116000000
"Lumajang, Kab.",IDN_Lumajang_Kab_18082,69.5,1299320000000
"Luwu Timur, Kab.",IDN_Luwu_Timur_Kab_73777,73.96,842910000000
"Luwu Utara, Kab.",IDN_Luwu_Utara_Kab_73778,75.36,729426000000
"Luwu, Kab.",IDN_Luwu_Kab_73779,75.33,780141000000
"Madiun, Kab.",IDN_Madiun_Kab_18083,71.46,1182860000000
"Magelang, Kab.",IDN_Magelang_Kab_18050,73.67,1428240000000
"Magetan, Kab.",IDN_Magetan_Kab_18084,74.34,1225380000000
"Mahakam Hulu, Kab.",IDN_Mahakam_Hulu_18267,73,100004000000
"Majalengka, Kab.",IDN_Majalengka_Kab_18021,71.9,1791760000000
"Majene, Kab.",IDN_Majene_Kab_18177,73.16,596607000000
"Malang, Kab.",IDN_Malang_Kab_73780,72.34,2529690000000
"Malinau, Kab.",IDN_Malinau_Kab_73793,74.33,676883000000
"Maluku Tengah, Kab.",IDN_Maluku_Tengah_Kab_73781,71.81,1018170000000
"Maluku Tenggara Barat, Kab.",IDN_Maluku_Tenggara_Barat_Kab_73782,69.87,571399000000
"Maluku Tenggara, Kab.",IDN_Maluku_Tenggara_Kab_73783,73.6,519386000000
"Mamasa, Kab.",IDN_Mamasa_Kab_73784,72.56,572653000000
"Mamberamo Raya, Kab.",IDN_Mamberamo_Raya_18269,60.64,868322000000
"Mandailing Natal, Kab",IDN_Mandailing_Natal_Kab_73787,71.72,870952000000
"Manggarai Barat, Kab.",IDN_Manggarai_Barat_Kab_73788,67.38,534110000000
"Manggarai Timur, Kab.",IDN_Manggarai_Timur_18271,67.62,534150000000
"Manggarai, Kab.",IDN_Manggarai_Kab_73789,68.69,664536000000
"Manokwari, Kab.",IDN_Manokwari_Kab_73790,68.61,1025690000000
"Mappi, Kab.",IDN_Mappi_Kab_73791,52.08,884593000000
"Maros, Kab.",IDN_Maros_Kab_73792,73.48,879547000000
"Maybrat, Kab.",IDN_Maybrat_18273,67.6,646732000000
"Melawi, Kab.",IDN_Melawi_Kab_73794,69.86,669009000000
"Merangin, Kab.",IDN_Merangin_Kab_73795,73.28,925554000000
"Merauke, Kab.",IDN_Merauke_Kab_73796,67.48,184652000000
"Mesuji, Kab.",IDN_Mesuji_18274,68.79,476750000000
"Mimika, Kab.",IDN_Mimika_Kab_73797,70.39,1432290000000
"Minahasa Selatan, Kab.",IDN_Minahasa_Selatan_Kab_73798,75.82,604615000000
"Minahasa Tenggara, Kab.",IDN_Minahasa_Tenggara_18275,73.79,838743000000
"Minahasa Utara, Kab.",IDN_Minahasa_Utara_Kab_73799,77.23,641023000000
"Minahasa, Kab.",IDN_Minahasa_Kab_73800,77.06,804782000000
"Mojokerto, Kab.",IDN_Mojokerto_Kab_18086,75.26,1498190000000
"Morowali, Kab.",IDN_Morowali_Kab_73801,72.27,894453000000
"Muara Enim, Kab.",IDN_Muara_Enim_Kab_73802,72.06,1845100000000
"Muaro Jambi, Kab.",IDN_Muaro_Jambi_Kab_73803,74.1,956865000000
"Mukomuko, Kab.",IDN_Mukomuko_Kab_73804,71.79,562938000000
"Muna, Kab.",IDN_Muna_Kab_18196,68.97,921153000000
"Murung Raya, Kab.",IDN_Murung_Raya_Kab_73805,73.98,868194000000
"Musi Rawas Utara, Kab.",IDN_Musi_Rawas_Utara_18277,67.94,5011238619
"Musi Rawas, Kab.",IDN_Musi_Rawas_Kab_73807,69.57,1514400000000
"Nabire, Kab.",IDN_Nabire_Kab_73808,68.49,816662000000
"Nagan Raya, Kab.",IDN_Nagan_Raya_Kab_73809,71.5,639663000000
"Nagekeo, Kab.",IDN_Nagekeo_18278,67.93,439857000000
"Natuna, Kab.",IDN_Natuna_Kab_73810,72.25,1310670000000
"Nduga, Kab.",IDN_Nduga_18279,49.29,654043000000
"Ngada, Kab.",IDN_Ngada_Kab_18155,70.89,489566000000
"Nganjuk, Kab.",IDN_Nganjuk_Kab_18087,72.49,1559540000000
"Ngawi, Kab.",IDN_Ngawi_Kab_18088,70.86,1414460000000
"Nias Barat, Kab.",IDN_Nias_Barat_18280,67.91,326277000000
"Nias Utara, Kab.",IDN_Nias_Utara_18281,69.39,410461000000
"Nias, Kab.",IDN_Nias_Kab_73812,69.93,461359000000
"Nunukan, Kab.",IDN_Nunukan_Kab_73813,75.13,1579760000000
"Ogan Ilir, Kab.",IDN_Ogan_Ilir_Kab_73814,70.89,995390000000
