kota,id,hdi,revenue
"Parigi Moutong, Kab.",IDN_Parigi_Moutong_Kab_73821,70.33,828783000000
"Pasaman Barat, Kab.",IDN_Pasaman_Barat_Kab_73822,71.39,747597000000
"Pasaman, Kab",IDN_Pasaman_Kab_73745,74.1,687125000000
"Paser, Kab.",IDN_Paser_Kab_73823,76.56,2008390000000
"Pasuruan, Kab.",IDN_Pasuruan_Kab_18091,69.77,1819740000000
"Pati, Kab.",IDN_Pati_Kab_18051,74.58,1706030000000
"Pegunungan Bintang, Kab.",IDN_Pegunungan_Bintang_Kab_73824,50.32,1033660000000
"Pekalongan, Kab.",IDN_Pekalongan_Kab_18052,73.14,1232400000000
"Pelalawan, Kab.",IDN_Pelalawan_Kab_73825,74.27,1338460000000
"Pemalang, Kab.",IDN_Pemalang_Kab_18053,71.26,1486770000000
"Penajam Paser Utara, Kab.",IDN_Penajam_Paser_Utara_Kab_73826,74.82,1328320000000
"Penukal Abab Lematang Ilir, Kab.",IDN_Penukal_Abab_Lematang_Ilir_18286,68.31,17011558472
"Pesawaran, Kab.",IDN_Pesawaran_17983.55,71.25,782448000000
"Pesisir Selatan, Kab.",IDN_Pesisir_Selatan_Kab_18212,72.98,1024920000000
"Pidie Jaya, Kab.",IDN_Pidie_Jaya_18288,73.69,505396000000
"Pidie, Kab.",IDN_Pidie_Kab_17968,73.32,1015670000000
"Pinrang, Kab.",IDN_Pinrang_Kab_18180,74.87,856677000000
"Pohuwato, Kab.",IDN_Pohuwato_Kab_73827,71.32,551262000000
"Polewali Mandar, Kab.",IDN_Polewali_Mandar_Kab_73828,69.17,808539000000
"Ponorogo, Kab.",IDN_Ponorogo_Kab_18092,72.61,1452190000000
"Pontianak, Kab.",IDN_Pontianak_Kab_73829,70.13,667573000000
"Poso, Kab.",IDN_Poso_Kab_73830,71.54,819976000000
"Pringsewu, Kab.",IDN_Pringsewu_18289,73.22,784516000000
"Probolinggo, Kab.",IDN_Probolinggo_Kab_18093,65.19,1381940000000
"Pulang Pisau, Kab.",IDN_Pulang_Pisau_Kab_73831,73.18,636602000000
"Pulau Morotai, Kab.",IDN_Pulau_Morotai_18290,67.03,435733000000
"Puncak Jaya, Kab.",IDN_Puncak_Jaya_Kab_73832,68.68,833222000000
"Puncak, Kab.",IDN_Puncak_18292,50.18,900796000000
"Purbalingga, Kab.",IDN_Purbalingga_Kab_18054,73.49,1186530000000
"Purwakarta, Kab.",IDN_Purwakarta_Kab_18023,72.75,1371140000000
"Purworejo, Kab.",IDN_Purworejo_Kab_18055,74.18,1289040000000
"Raja Ampat, Kab.",IDN_Raja_Ampat_Kab_73833,66.08,840353000000
"Rembang, Kab.",IDN_Rembang_Kab_18056,73.53,1165430000000
"Rokan Hilir, Kab.",IDN_Rokan_Hilir_Kab_73835,73.45,1955180000000
"Rokan Hulu, Kab.",IDN_Rokan_Hulu_Kab_73836,73.87,1311420000000
"Sabu Raijua, Kab.",IDN_Sabu_Raijua_18293,57.74,376887000000
"Salatiga, Kota",IDN_Salatiga_Kota_18045,77.54,603204000000
"Sambas, Kab.",IDN_Sambas_Kab_18105,66.81,1063080000000
"Samosir, Kab.",IDN_Samosir_Kab_73838,75.02,529781000000
"Sampang, Kab.",IDN_Sampang_Kab_18094,62.39,1102950000000
"Sanggau, Kab.",IDN_Sanggau_Kab_73839,70.3,999856000000
"Sarolangun, Kab.",IDN_Sarolangun_Kab_73841,74.08,822921000000
"Sekadau, Kab.",IDN_Sekadau_Kab_73843,68.99,575267000000
"Seluma, Kab.",IDN_Seluma_Kab_73844,68.4,558013000000
"Semarang, Kab.",IDN_Semarang_Kab_18057,75.48,1373380000000
"Seram Bagian Timur, Kab.",IDN_Seram_Bagian_Timur_Kab_73846,69.11,531232000000
"Serang, Kab.",IDN_Serang_Kab_18024,70.25,1766520000000
"Serdang Bedagai, Kab.",IDN_Serdang_Bedagai_Kab_73847,74.41,988059000000
"Seruyan, Kab.",IDN_Seruyan_Kab_73848,73.36,783613000000
"Siak, Kab.",IDN_Siak_Kab_73849,77.44,2273790000000
"Sidenreng Rappang, Kab.",IDN_Sidenreng_Rappang_Kab_18183,74.05,745706000000
"Sidoarjo, Kab.",IDN_Sidoarjo_Kab_18095,78.15,2695270000000
"Sigi, Kab.",IDN_Sigi_18297,68.96,667657000000
"Sijunjung, Kab.",IDN_Sijunjung_Kab_73842,72.15,660000000000
"Sikka, Kab.",IDN_Sikka_Kab_18156,69.18,674270000000
"Simalungun, Kab.",IDN_Simalungun_Kab_18236,74.55,1468170000000
"Simeulue, Kab.",IDN_Simeulue_Kab_73850,70.76,485546000000
"Sinjai, Kab.",IDN_Sinjai_Kab_18184,71.45,662485000000
"Sintang, Kab.",IDN_Sintang_Kab_73851,69.81,1093480000000
"Situbondo, Kab.",IDN_Situbondo_Kab_18096,65.73,1109470000000
"Sleman, Kab.",IDN_Sleman_Kab_17985,79.97,1899530000000
"Solok Selatan, Kab.",IDN_Solok_Selatan_Kab_73852,70.23,515128000000
"Solok, Kab.",IDN_Solok_Kab_73853,72.46,857928000000
"Soppeng, Kab.",IDN_Soppeng_Kab_18185,73.31,761700000000
"Sorong Selatan, Kab.",IDN_Sorong_Selatan_Kab_73854,67.28,626315000000
"Sorong, Kab.",IDN_Sorong_Kab_73855,69.74,1299510000000
"Sragen, Kab.",IDN_Sragen_Kab_18058,72.31,1468970000000
"Subang, Kab.",IDN_Subang_Kab_18025,72.1,1815830000000
"Sukabumi, Kab.",IDN_Sukabumi_Kab_18026,71.96,2408360000000
"Sukamara, Kab.",IDN_Sukamara_Kab_73856,73.24,536061000000
"Sukoharjo, Kab.",IDN_Sukoharjo_Kab_18059,74.91,1365640000000
"Sumba Barat Daya, Kab.",IDN_Sumba_Barat_Daya_18298,63.05,497178000000
"Sumba Barat, Kab.",IDN_Sumba_Barat_Kab_18157,65.49,425846000000
"Sumba Tengah, Kab.",IDN_Sumba_Tengah_18299,62.29,341655000000
"Sumba Timur, Kab.",IDN_Sumba_Timur_Kab_18158,63.8,693573000000
"Sumbawa Barat, Kab.",IDN_Sumbawa_Barat_Kab_73857,68.5,544251000000
"Sumbawa, Kab.",IDN_Sumbawa_Kab_73858,68.06,955352000000
"Sumedang, Kab.",IDN_Sumedang_Kab_18027,73.58,1715190000000
"Sumenep, Kab.",IDN_Sumenep_Kab_18097,66.89,1496940000000
"Supiori, Kab.",IDN_Supiori_Kab_73859,69.5,575972000000
"Tabalong, Kab.",IDN_Tabalong_Kab_18115,71.56,667707000000
"Tabanan, Kab.",IDN_Tabanan_Kab_17976,76.19,1253030000000
"Takalar, Kab.",IDN_Takalar_Kab_18186,70.77,708533000000
"Tambrauw, Kab",IDN_Tambrau_18301,51.54,629297000000
"Tana Tidung, Kab.",IDN_Tana_Tidung_18302,73.2,1042990000000
"Tana Toraja, Kab.",IDN_Tana_Toraja_Kab_18187,73.76,659865000000
"Tanah Bumbu, Kab.",IDN_Tanah_Bumbu_Kab_73860,71.82,1077620000000
"Tanah Datar, Kab.",IDN_Tanah_Datar_Kab_18215,75.29,893108000000
"Tanah Laut, Kab.",IDN_Tanah_Laut_Kab_18116,73.46,1225810000000
"Tangerang, Kab.",IDN_Tangerang_Kab_18028,72.82,3465360000000
"Tanggamus, Kab.",IDN_Tanggamus_Kab_73861,72.66,883820000000
"Tanjung Jabung Barat, Kab.",IDN_Tanjung_Jabung_Barat_Kab_73862,74.21,1101960000000
"Tanjung Jabung Timur, Kab.",IDN_Tanjung_Jabung_Timur_Kab_73863,73.03,920659000000
"Tapanuli Selatan, Kab.",IDN_Tapanuli_Selatan_Kab_73864,75.13,810115000000
"Tapanuli Tengah, Kab.",IDN_Tapanuli_Tengah_Kab_73865,72.55,871724000000
"Tapanuli Utara, Kab.",IDN_Tapanuli_Utara_Kab_73866,75.81,1704470000000
"Tapin, Kab.",IDN_Tapin_Kab_18117,72.18,431691000000
"Tasikmalaya, Kab.",IDN_Tasikmalaya_Kab_73867,73.26,2213620000000
"Tebo, Kab.",IDN_Tebo_Kab_73868,73.38,793020000000
"Tegal, Kab.",IDN_Tegal_Kab_18060,72.22,1574070000000
"Teluk Bintuni, Kab.",IDN_Teluk_Bintuni_Kab_73869,67.95,1451020000000
"Teluk Wondama, Kab.",IDN_Teluk_Wondama_Kab_73870,67.54,607258000000
"Temanggung, Kab.",IDN_Temanggung_Kab_18061,75,1053850000000
"Timor Tengah Selatan, Kab.",IDN_Timor_Tengah_Selatan_Kab_18159,66.83,838702000000
"Timor Tengah Utara, Kab.",IDN_Timor_Tengah_Utara_Kab_18160,68.94,608393000000
"Toba Samosir, Kab.",IDN_Toba_Samosir_Kab_73871,77.49,717187000000
"Tojo Una-Una, Kab.",IDN_Tojo_Una-Una_Kab_73872,70,615869000000
"Tolikara, Kab.",IDN_Tolikara_Kab_73874,53.06,803918000000
"Toli-Toli, Kab.",IDN_Toli-Toli_Kab_73873,70.24,664676000000
"Toraja Utara, Kab.",IDN_Toraja_Utara_18304,71.69,605494000000
"Trenggalek, Kab.",IDN_Trenggalek_Kab_18098,74.44,1206680000000
"Tuban, Kab.",IDN_Tuban_Kab_18099,70.04,1526020000000
"Tulang Bawang Barat, Kab.",IDN_Tulang_Bawang_Barat_18306,70.38,568385000000
"Tulungagung, Kab.",IDN_Tulungagung_Kab_18100,74.79,1774870000000
"Wajo, Kab.",IDN_Wajo_Kab_18188,72.55,1019200000000
"Waropen, Kab.",IDN_Waropen_Kab_73877,64.77,634100000000
"Way Kanan, Kab.",IDN_Way_Kanan_Kab_73878,71.08,778381000000
"Wonogiri, Kab.",IDN_Wonogiri_Kab_18062,73.09,1489310000000
"Wonosobo, Kab.",IDN_Wonosobo_Kab_18063,71.9,1144180000000
"Yahukimo, Kab.",IDN_Yahukimo_Kab_73879,51.14,829910000000
"Yalimo, Kab.",IDN_Yalimo_18307,49.86,724777000000
